time,company,country,requests,approved
2013H1,apple,Australia,74,0.54
2013H1,apple,Austria,2,0.5
2013H1,apple,Bahamas,1,1
2013H1,apple,Belarus,1,0
2013H1,apple,Belgium,13,0.38
2013H1,apple,Brazil,8,0
2013H1,apple,Canada,6,0.67
2013H1,apple,China,6,0.33
2013H1,apple,Czech Republic,2,0.5
2013H1,apple,Denmark,11,0.55
2013H1,apple,France,71,0.24
2013H1,apple,Germany,93,0.06
2013H1,apple,Hong Kong,32,0.75
2013H1,apple,Ireland,5,0.6
2013H1,apple,Italy,60,0.37
2013H1,apple,Japan,42,0.24
2013H1,apple,Netherlands,4,0.25
2013H1,apple,New Zealand,3,0.33
2013H1,apple,Norway,6,0.33
2013H1,apple,Poland,1,0
2013H1,apple,Portugal,2,1
2013H1,apple,Russia,1,1
2013H1,apple,San Marino,2,0
2013H1,apple,Singapore,23,0.57
2013H1,apple,South Korea,4,0.5
2013H1,apple,Spain,102,0.22
2013H1,apple,Sweden,7,0.43
2013H1,apple,Switzerland,6,0.17
2013H1,apple,Taiwan,4,0.75
2013H1,apple,United Kingdom,127,0.37
2013H1,apple,United States,1500,0.67
2013H2,apple,Argentina,2,0
2013H2,apple,Bahamas,0,0
2013H2,apple,Brazil,4,0.5
2013H2,apple,Mexico,1,1
2013H2,apple,Australia,42,0.29
2013H2,apple,China,2,0
2013H2,apple,Hong Kong,4,0.25
2013H2,apple,Indonesia,0,0
2013H2,apple,Japan,28,0.18
2013H2,apple,Malaysia,0,0
2013H2,apple,New Zealand,3,0
2013H2,apple,Singapore,6,0.17
2013H2,apple,South Korea,2,0
2013H2,apple,Taiwan,3,0
2013H2,apple,United States of America,638,0.71
2013H2,apple,Canada,9,0.67
2013H2,apple,Austria,6,0.17
2013H2,apple,Belarus,0,0
2013H2,apple,Belgium,5,0.2
2013H2,apple,Bulgaria,0,0
2013H2,apple,Czech Republic,5,0.2
2013H2,apple,Denmark,7,0.57
2013H2,apple,Finland,2,0.5
2013H2,apple,France,119,0.29
2013H2,apple,Germany,147,0.46
2013H2,apple,India,0,0
2013H2,apple,Ireland,8,0.25
2013H2,apple,Italy,40,0.28
2013H2,apple,Luxembourg,9,0.89
2013H2,apple,Netherlands,6,0
2013H2,apple,Norway,8,0.25
2013H2,apple,Poland,1,0
2013H2,apple,Portugal,1,1
2013H2,apple,Russia,3,0.33
2013H2,apple,San Marino,0,0
2013H2,apple,Spain,37,0.35
2013H2,apple,Sweden,13,0.23
2013H2,apple,Switzerland,13,0.15
2013H2,apple,Turkey,2,1
2013H2,apple,United Kingdom,151,0.38
2014H1,apple,Argentina,0,0
2014H1,apple,Bahamas,0,0
2014H1,apple,Brazil,2,0
2014H1,apple,Mexico,1,0
2014H1,apple,Australia,93,0.14
2014H1,apple,China,7,0.14
2014H1,apple,Hong Kong,14,0.21
2014H1,apple,Indonesia,1,0
2014H1,apple,Japan,64,0.11
2014H1,apple,Malaysia,2,0.5
2014H1,apple,New Zealand,4,0.25
2014H1,apple,Singapore,24,0.21
2014H1,apple,South Korea,10,0.3
2014H1,apple,Taiwan,7,0.14
2014H1,apple,United States of America,789,0.77
2014H1,apple,Canada,14,0.64
2014H1,apple,Austria,6,0.83
2014H1,apple,Belarus,0,0
2014H1,apple,Belgium,4,0.5
2014H1,apple,Bulgaria,1,0
2014H1,apple,Czech Republic,0,0
2014H1,apple,Denmark,4,0
2014H1,apple,Finland,0,0
2014H1,apple,France,72,0.31
2014H1,apple,Germany,122,0.43
2014H1,apple,India,2,0
2014H1,apple,Ireland,7,0.14
2014H1,apple,Italy,22,0.41
2014H1,apple,Luxembourg,0,0
2014H1,apple,Netherlands,6,0.33
2014H1,apple,Norway,2,0.5
2014H1,apple,Poland,3,0.67
