time,company,country,requests,approved
2013H1,facebook,Albania,6,0.83
2013H1,facebook,Argentina,152,0.27
2013H1,facebook,Australia,546,0.64
2013H1,facebook,Austria,35,0.17
2013H1,facebook,Bangladesh,1,0
2013H1,facebook,Barbados,3,0
2013H1,facebook,Belgium,150,0.7
2013H1,facebook,Bosnia,4,0.25
2013H1,facebook,Botswana,3,0
2013H1,facebook,Brazil,715,0.33
2013H1,facebook,Bulgaria,1,0
2013H1,facebook,Cambodia,1,0
2013H1,facebook,Canada,192,0.44
2013H1,facebook,Chile,215,0.68
2013H1,facebook,Colombia,27,0.15
2013H1,facebook,Costa Rica,4,0
2013H1,facebook,Croatia,2,0
2013H1,facebook,Cyprus,3,0.33
2013H1,facebook,Czech Republic,10,0.6
2013H1,facebook,Denmark,11,0.55
2013H1,facebook,Ecuador,2,0
2013H1,facebook,Egypt,8,0
2013H1,facebook,El Salvador,2,0
2013H1,facebook,Finland,12,0.75
2013H1,facebook,France,1547,0.39
2013H1,facebook,Germany,1886,0.37
2013H1,facebook,Greece,122,0.54
2013H1,facebook,Hong Kong,1,1
2013H1,facebook,Hungary,25,0.36
2013H1,facebook,Iceland,1,1
2013H1,facebook,India,3245,0.5
2013H1,facebook,Ireland,34,0.71
2013H1,facebook,Israel,113,0.5
2013H1,facebook,Italy,1705,0.53
2013H1,facebook,Ivory Coast,4,0
2013H1,facebook,Japan,1,0
2013H1,facebook,Lithuania,6,0.17
2013H1,facebook,Macedonia,9,0.33
2013H1,facebook,Malaysia,7,0
2013H1,facebook,Malta,89,0.6
2013H1,facebook,Mexico,78,0.37
2013H1,facebook,Mongolia,2,0
2013H1,facebook,Montenegro,2,0
2013H1,facebook,Nepal,3,0.33
2013H1,facebook,Netherlands,11,0.36
2013H1,facebook,New Zealand,106,0.58
2013H1,facebook,Norway,16,0.31
2013H1,facebook,Pakistan,35,0.77
2013H1,facebook,Panama,2,0
2013H1,facebook,Peru,13,0.15
2013H1,facebook,Philippines,4,0.25
2013H1,facebook,Poland,233,0.09
2013H1,facebook,Portugal,177,0.42
2013H1,facebook,Qatar,3,0
2013H1,facebook,Romania,16,0.63
2013H1,facebook,Russia,1,0
2013H1,facebook,Serbia,3,0
2013H1,facebook,Singapore,107,0.7
2013H1,facebook,Slovenia,6,0.5
2013H1,facebook,South Africa,14,0
2013H1,facebook,South Korea,7,0.14
2013H1,facebook,Spain,479,0.51
2013H1,facebook,Sweden,54,0.54
2013H1,facebook,Switzerland,32,0.13
2013H1,facebook,Taiwan,229,0.84
2013H1,facebook,Thailand,2,0
2013H1,facebook,Turkey,96,0.47
2013H1,facebook,Uganda,1,0
2013H1,facebook,UK,1975,0.68
2013H1,facebook,US,"11,000 - 12,000",0.79
2013H2,facebook,Albania,6,0.83
2013H2,facebook,Argentina,278,0.18
2013H2,facebook,Armenia,1,0
2013H2,facebook,Australia,603,0.66
2013H2,facebook,Austria,28,0.14
2013H2,facebook,Bahrain,1,0
2013H2,facebook,Bangladesh,,
2013H2,facebook,Belgium,154,0.65
2013H2,facebook,Bhutan,1,0
2013H2,facebook,Bosnia,4,0.5
2013H2,facebook,Botswana,1,0
2013H2,facebook,Brazil,1165,0.34
2013H2,facebook,Bulgaria,2,0.5
2013H2,facebook,Cambodia,1,0
2013H2,facebook,Canada,174,0.5
2013H2,facebook,Chile,230,0.64
2013H2,facebook,Colombia,21,0.19
2013H2,facebook,Costa Rica,9,0.11
2013H2,facebook,Croatia,7,0.43
2013H2,facebook,Cyprus,3,1
2013H2,facebook,Czech Republic,14,0.79
2013H2,facebook,Denmark,12,0.33
2013H2,facebook,Ecuador,2,0
2013H2,facebook,Egypt,6,0
2013H2,facebook,Estonia,6,0.33
2013H2,facebook,Finland,11,0.64
2013H2,facebook,France,1661,0.34
2013H2,facebook,Georgia,3,0.33
2013H2,facebook,Germany,1687,0.38
2013H2,facebook,Greece,115,0.5
2013H2,facebook,Greenland,2,0
2013H2,facebook,Hong Kong,25,0.88
2013H2,facebook,Hungary,38,0.29
2013H2,facebook,India,3598,0.54
2013H2,facebook,Ireland,35,0.63
2013H2,facebook,Israel,129,0.51
2013H2,facebook,Italy,1699,0.53
2013H2,facebook,Ivory Coast,1,1
2013H2,facebook,Kazakhstan,2,0
2013H2,facebook,Kuwait,4,0
2013H2,facebook,Lebanon,12,0
2013H2,facebook,Lithuania,9,0.44
2013H2,facebook,Luxembourg,2,0
2013H2,facebook,Macau,1,0
2013H2,facebook,Macedonia,6,0.83
2013H2,facebook,Malaysia,16,0.19
2013H2,facebook,Malta,81,0.62
2013H2,facebook,Mexico,125,0.54
2013H2,facebook,Nepal,2,0
2013H2,facebook,Netherlands,23,0.36
2013H2,facebook,New Zealand,80,0.7
2013H2,facebook,Norway,15,0.13
2013H2,facebook,Oman,3,0
2013H2,facebook,Pakistan,126,0.48
2013H2,facebook,Palestine,4,0
2013H2,facebook,Peru,2,0
2013H2,facebook,Philippines,4,0.5
2013H2,facebook,Poland,220,0.15
2013H2,facebook,Portugal,148,0.25
2013H2,facebook,Qatar,3,0
2013H2,facebook,Romania,11,0.45
2013H2,facebook,Russia,1,0
2013H2,facebook,Serbia,2,1
2013H2,facebook,Singapore,141,0.71
2013H2,facebook,Slovenia,3,0.67
2013H2,facebook,South Africa,3,0
2013H2,facebook,South Korea,1,0
2013H2,facebook,Spain,404,0.4
2013H2,facebook,Sri Lanka,1,0
2013H2,facebook,Sudan,4,0
2013H2,facebook,Sweden,89,0.53
2013H2,facebook,Switzerland,34,0.18
2013H2,facebook,Taiwan,193,0.72
2013H2,facebook,Thailand,2,0
2013H2,facebook,Turkey,129,0.57
2013H2,facebook,Uganda,1,0
2013H2,facebook,United Arab Emirates,2,0
2013H2,facebook,UK,1906,0.71
2013H2,facebook,US,12598,0.81
2013H2,facebook,Uruguay,1,0
2014H1,facebook,Afghanistan,1,0
2014H1,facebook,Albania,4,0.75
2014H1,facebook,Argentina,254,0.32
2014H1,facebook,Armenia,4,0.25
2014H1,facebook,Australia,610,0.6
2014H1,facebook,Austria,63,0.17
2014H1,facebook,Bahrain,1,0
2014H1,facebook,Bangladesh,7,0
2014H1,facebook,Belgium,209,0.57
2014H1,facebook,Bosnia,6,0.67
2014H1,facebook,Botswana,1,0
2014H1,facebook,Brazil,1307,0.35
2014H1,facebook,Brunei,1,0
2014H1,facebook,Bulgaria,3,1
2014H1,facebook,Canada,263,0.54
2014H1,facebook,Chile,307,0.5
2014H1,facebook,Colombia,52,0.38
2014H1,facebook,Costa Rica,3,0
2014H1,facebook,Croatia,19,0.79
2014H1,facebook,Cyprus,13,0.69
2014H1,facebook,Czech Republic,11,0.27
2014H1,facebook,Denmark,15,0.4
2014H1,facebook,Dominican Republic,11,0.27
2014H1,facebook,Ecuador,1,0
2014H1,facebook,Egypt,5,0.2
2014H1,facebook,Estonia,7,0.43
2014H1,facebook,Finland,28,0.43
2014H1,facebook,France,2249,0.3
2014H1,facebook,Georgia,1,0
2014H1,facebook,Germany,2537,0.34
2014H1,facebook,Greece,128,0.56
2014H1,facebook,Greenland,3,0
2014H1,facebook,Guatemala,1,0
2014H1,facebook,Hong Kong,20,0.6
2014H1,facebook,Hungary,57,0.33
2014H1,facebook,Iceland,2,0.5
2014H1,facebook,India,4559,0.51
2014H1,facebook,Ireland,54,0.61
2014H1,facebook,Israel,111,0.51
2014H1,facebook,Italy,1869,0.49
2014H1,facebook,Japan,2,0
