time,company,country,requests,approved
2013H1,microsoft,Argentina,455,0.98
2013H1,microsoft,Australia,1219,1
2013H1,microsoft,Austria,9,0.89
2013H1,microsoft,Belarus,1,1
2013H1,microsoft,Belgium,500,1
2013H1,microsoft,Brazil,1098,0.99
2013H1,microsoft,British Virgin Islands,1,1
2013H1,microsoft,Bulgaria,2,1
2013H1,microsoft,Canada,69,0.93
2013H1,microsoft,Chile,204,1
2013H1,microsoft,China,3,1
2013H1,microsoft,Colombia,97,0.98
2013H1,microsoft,Costa Rica,48,1
2013H1,microsoft,Czech Republic,34,0.88
2013H1,microsoft,Denmark,107,0.99
2013H1,microsoft,Dominican Republic,7,1
2013H1,microsoft,Ecuador,17,1
2013H1,microsoft,El Salvador,9,1
2013H1,microsoft,Estonia,3,1
2013H1,microsoft,Finland,29,1
2013H1,microsoft,France,4379,0.99
2013H1,microsoft,French Polynesia,1,1
2013H1,microsoft,French Southern Territories,1,1
2013H1,microsoft,Germany,5185,0.99
2013H1,microsoft,Greece,10,1
2013H1,microsoft,Hong Kong,597,1
2013H1,microsoft,Hungary,70,0.99
2013H1,microsoft,Iceland,6,1
2013H1,microsoft,India,278,0.97
2013H1,microsoft,Ireland,40,0.83
2013H1,microsoft,Israel,34,0.82
2013H1,microsoft,Italy,852,0.97
2013H1,microsoft,Japan,476,0.93
2013H1,microsoft,Korea,126,0.98
2013H1,microsoft,Latvia,1,1
2013H1,microsoft,Lithuania,6,0.67
2013H1,microsoft,Luxembourg,55,1
2013H1,microsoft,Malta,29,1
2013H1,microsoft,Mexico,340,1
2013H1,microsoft,Moldova,1,1
2013H1,microsoft,Monaco,2,0.5
2013H1,microsoft,Netherlands,411,1
2013H1,microsoft,New Zealand,34,0.94
2013H1,microsoft,Norway,74,1
2013H1,microsoft,Panama,10,1
2013H1,microsoft,Peru,29,1
2013H1,microsoft,Poland,55,0.98
2013H1,microsoft,Portugal,334,1
2013H1,microsoft,Qatar,1,1
2013H1,microsoft,Russian Federation,3,1
2013H1,microsoft,Singapore,66,1
2013H1,microsoft,Slovakia,15,0.93
2013H1,microsoft,Spain,927,0.99
2013H1,microsoft,Sweden,281,0.98
2013H1,microsoft,Switzerland,43,0.88
2013H1,microsoft,Taiwan,802,1
2013H1,microsoft,Thailand,44,1
2013H1,microsoft,Trinidad and Tobago,1,1
2013H1,microsoft,Turkey,6226,1
2013H1,microsoft,Ukraine,5,1
2013H1,microsoft,United Kingdom,4404,0.98
2013H1,microsoft,United States,7014,0.92
2013H1,microsoft,Uruguay,1,1
2013H1,microsoft,Venezuala,15,0.93
2013H2,microsoft,Argentina,439,0.99
2013H2,microsoft,Australia,1281,0.98
2013H2,microsoft,Austria,15,0.6
2013H2,microsoft,Belarus,2,0
2013H2,microsoft,Belgium,378,0.97
2013H2,microsoft,Brazil,1494,0.99
2013H2,microsoft,Bulgaria,3,1
2013H2,microsoft,Canada,47,0.89
2013H2,microsoft,Chile,218,0.98
2013H2,microsoft,China,4,0.75
2013H2,microsoft,Colombia,114,1
2013H2,microsoft,Croatia,2,1
2013H2,microsoft,Costa Rica,66,1
