time,company,country,requests,approved
2012H1,twitter,Australia,3,0.33
2012H1,twitter,Austria,1,0
2012H1,twitter,Brazil,5,0
2012H1,twitter,Bulgaria,1,0
2012H1,twitter,Canada,11,0.18
2012H1,twitter,France,6,0
2012H1,twitter,Germany,1,0
2012H1,twitter,Greece,3,0.33
2012H1,twitter,India,1,0
2012H1,twitter,Indonesia,1,0
2012H1,twitter,Italy,4,0
2012H1,twitter,Japan,98,0.2
2012H1,twitter,Mexico,5,0
2012H1,twitter,Netherlands,4,0.5
2012H1,twitter,Peru,1,0
2012H1,twitter,Portugal,2,0
2012H1,twitter,South Korea,1,0
2012H1,twitter,Spain,8,0
2012H1,twitter,Sweden,1,0
2012H1,twitter,Switzerland,1,0
2012H1,twitter,Turkey,1,0
2012H1,twitter,United Kingdom,11,0.18
2012H1,twitter,United States,679,0.75
2012H2,twitter,Argentina,2,0
2012H2,twitter,Australia,5,0.2
2012H2,twitter,Austria,0,0
2012H2,twitter,Belgium,0,0
2012H2,twitter,Brazil,34,0.12
2012H2,twitter,Bulgaria,0,0
2012H2,twitter,Canada,15,0.07
2012H2,twitter,Denmark,1,0
2012H2,twitter,France,12,0
2012H2,twitter,Germany,5,0
2012H2,twitter,Greece,8,0
2012H2,twitter,India,5,0
2012H2,twitter,Indonesia,1,0
2012H2,twitter,Ireland,2,0
2012H2,twitter,Israel,1,0
2012H2,twitter,Italy,3,0
2012H2,twitter,Japan,62,0.05
2012H2,twitter,Mexico,1,0
2012H2,twitter,Netherlands,3,0.33
2012H2,twitter,Peru,0,0
2012H2,twitter,Portugal,0,0
2012H2,twitter,Qatar,1,0
2012H2,twitter,South Korea,0,0
2012H2,twitter,South Sudan,1,0
2012H2,twitter,Spain,5,0
2012H2,twitter,Sweden,0,0
2012H2,twitter,Switzerland,1,0
2012H2,twitter,Turkey,1,0
2012H2,twitter,United Kingdom,25,0.04
2012H2,twitter,United States,815,0.69
2013H1,twitter,Argentina,2,0
2013H1,twitter,Australia,8,0.25
2013H1,twitter,Austria,0,0
2013H1,twitter,Belgium,0,0
2013H1,twitter,Brazil,22,0.32
2013H1,twitter,Bulgaria,0,0
2013H1,twitter,Canada,12,0.17
2013H1,twitter,Denmark,0,0
2013H1,twitter,Ecuador,3,1
2013H1,twitter,France,18,0.11
2013H1,twitter,Germany,6,0.17
2013H1,twitter,Greece,8,0
2013H1,twitter,India,5,0
2013H1,twitter,Indonesia,0,0
2013H1,twitter,Ireland,1,1
2013H1,twitter,Israel,0,0
2013H1,twitter,Italy,22,0
2013H1,twitter,Japan,87,0.16
2013H1,twitter,Kuwait,1,0
2013H1,twitter,Mexico,11,0
2013H1,twitter,Netherlands,3,0.33
2013H1,twitter,Peru,0,0
2013H1,twitter,Philippines,1,0
2013H1,twitter,Portugal,0,0
2013H1,twitter,Qatar,0,0
2013H1,twitter,Saudi Arabia,1,0
2013H1,twitter,Singapore,1,0
2013H1,twitter,South Korea,1,0
2013H1,twitter,South Sudan,0,0
2013H1,twitter,Spain,13,0
2013H1,twitter,Sweden,0,0
2013H1,twitter,Switzerland,1,0
2013H1,twitter,Turkey,1,0
2013H1,twitter,United Kingdom,26,0.15
2013H1,twitter,United States,902,0.67
2013H1,twitter,Venezuela,1,0
2013H2,twitter,Argentina,1,0
2013H2,twitter,Australia,5,0.2
2013H2,twitter,Austria,0,0
2013H2,twitter,Belgium,2,0.5
2013H2,twitter,Brazil,20,0.3
2013H2,twitter,Bulgaria,0,0
2013H2,twitter,Canada,18,0.56
2013H2,twitter,Colombia,4,0
2013H2,twitter,Denmark,0,0
2013H2,twitter,Ecuador,0,0
2013H2,twitter,France,57,0.23
2013H2,twitter,Germany,3,0.33
2013H2,twitter,Greece,9,0.11
2013H2,twitter,Hong Kong,1,0
2013H2,twitter,India,19,0.32
2013H2,twitter,Indonesia,1,0
2013H2,twitter,Ireland,0,0
2013H2,twitter,Israel,0,0
2013H2,twitter,Italy,19,0
2013H2,twitter,Japan,213,0.23
2013H2,twitter,Kuwait,1,0
2013H2,twitter,Lebanon,3,0.67
2013H2,twitter,Malaysia,1,0
2013H2,twitter,Maldives,1,0
2013H2,twitter,Mexico,1,0
2013H2,twitter,Netherlands,9,0.56
2013H2,twitter,New Zealand,1,0
2013H2,twitter,Norway,1,1
2013H2,twitter,Oman,1,0
2013H2,twitter,Pakistan,1,0
2013H2,twitter,Peru,0,0
2013H2,twitter,Philippines,0,0
2013H2,twitter,Portugal,0,0
2013H2,twitter,Qatar,1,0
2013H2,twitter,Saudi Arabia,110,0.05
2013H2,twitter,Singapore,2,0
2013H2,twitter,South Korea,0,0
2013H2,twitter,South Sudan,0,0
2013H2,twitter,Spain,13,0
2013H2,twitter,Sweden,0,0
2013H2,twitter,Switzerland,0,0
2013H2,twitter,Turkey,1,0
2013H2,twitter,United Arab Emirates,2,0
2013H2,twitter,United Kingdom,56,0.43
2013H2,twitter,United States,833,0.69
2013H2,twitter,Venezuela,0,0
2014H1,twitter,Albania,1,0
2014H1,twitter,Argentina,7,0
2014H1,twitter,Australia,2,1
2014H1,twitter,Austria,0,0
2014H1,twitter,Bahrain,1,0
2014H1,twitter,Belgium,0,0
2014H1,twitter,Brazil,77,0.39
2014H1,twitter,Bulgaria,0,0
2014H1,twitter,Canada,30,0.23
2014H1,twitter,Chile,1,0
2014H1,twitter,Colombia,5,0.2
2014H1,twitter,Denmark,1,0
2014H1,twitter,Ecuador,0,0
2014H1,twitter,Egypt,1,0
2014H1,twitter,France,36,0.08
2014H1,twitter,Germany,14,0.21
2014H1,twitter,Greece,16,0.13
2014H1,twitter,Hong Kong,0,0
2014H1,twitter,India,16,0.13
2014H1,twitter,Indonesia,0,0
2014H1,twitter,Ireland,3,0.33
2014H1,twitter,Israel,0,0
2014H1,twitter,Italy,10,0.2
2014H1,twitter,Japan,192,0.36
2014H1,twitter,Kuwait,5,0
2014H1,twitter,Lebanon,5,0
2014H1,twitter,Lithuania,1,0
2014H1,twitter,Malaysia,3,0
2014H1,twitter,Maldives,0,0
2014H1,twitter,Mexico,5,0
2014H1,twitter,Netherlands,5,0.2
2014H1,twitter,New Zealand,2,0.5
2014H1,twitter,Norway,1,0
2014H1,twitter,Oman,2,0
2014H1,twitter,Pakistan,2,0
2014H1,twitter,Peru,0,0
2014H1,twitter,Philippines,0,0
2014H1,twitter,Portugal,0,0
2014H1,twitter,Qatar,0,0
2014H1,twitter,Saudi Arabia,189,0.01
2014H1,twitter,Singapore,1,0
2014H1,twitter,South Korea,6,0.17
2014H1,twitter,South Sudan,0,0
2014H1,twitter,Spain,43,0.12
2014H1,twitter,Sri Lanka,1,0
2014H1,twitter,Sweden,0,0
2014H1,twitter,Switzerland,3,0
2014H1,twitter,Thailand,1,0
2014H1,twitter,Trinidad and Tobago,1,0
2014H1,twitter,Turkey,24,0
2014H1,twitter,United Arab Emirates,6,0
2014H1,twitter,United Kingdom,78,0.46
2014H1,twitter,United States,1257,0.72
2014H1,twitter,Venezuela,4,0
2014H2,twitter,Albania,0,0
2014H2,twitter,Argentina,3,0.33
2014H2,twitter,Australia,10,0.5
2014H2,twitter,Austria,0,0
2014H2,twitter,Bahrain,0,0
