time,company,approved,requests,approved_number,country
2013H1,apple,0.54,74,39,Australia
2013H1,apple,0.5,2,1,Austria
2013H1,apple,1,1,1,Bahamas
2013H1,apple,0,1,0,Belarus
2013H1,apple,0.38,13,4,Belgium
2013H1,apple,0,8,0,Brazil
2013H1,apple,0.67,6,4,Canada
2013H1,apple,0.33,6,1,China
2013H1,apple,0.5,2,1,Czech Republic
2013H1,apple,0.55,11,6,Denmark
2013H1,apple,0.24,71,17,France
2013H1,apple,0.06,93,5,Germany
2013H1,apple,0.75,32,24,Hong Kong
2013H1,apple,0.6,5,3,Ireland
2013H1,apple,0.37,60,22,Italy
2013H1,apple,0.24,42,10,Japan
2013H1,apple,0.25,4,1,Netherlands
2013H1,apple,0.33,3,0,New Zealand
2013H1,apple,0.33,6,1,Norway
2013H1,apple,0,1,0,Poland
2013H1,apple,1,2,2,Portugal
2013H1,apple,1,1,1,Russia
2013H1,apple,0,2,0,San Marino
2013H1,apple,0.57,23,13,Singapore
2013H1,apple,0.5,4,2,South Korea
2013H1,apple,0.22,102,22,Spain
2013H1,apple,0.43,7,3,Sweden
2013H1,apple,0.17,6,1,Switzerland
2013H1,apple,0.75,4,3,Taiwan
2013H1,apple,0.37,127,46,United Kingdom
2013H1,apple,0.67,1500,1005,United States
2013H2,apple,0,2,0,Argentina
2013H2,apple,0,0,0,Bahamas
2013H2,apple,0.5,4,2,Brazil
2013H2,apple,1,1,1,Mexico
2013H2,apple,0.29,42,12,Australia
2013H2,apple,0,2,0,China
2013H2,apple,0.25,4,1,Hong Kong
2013H2,apple,0,0,0,Indonesia
2013H2,apple,0.18,28,5,Japan
2013H2,apple,0,0,0,Malaysia
2013H2,apple,0,3,0,New Zealand
2013H2,apple,0.17,6,1,Singapore
2013H2,apple,0,2,0,South Korea
2013H2,apple,0,3,0,Taiwan
2013H2,apple,0.71,638,452,United States
2013H2,apple,0.67,9,6,Canada
2013H2,apple,0.17,6,1,Austria
2013H2,apple,0,0,0,Belarus
2013H2,apple,0.2,5,1,Belgium
2013H2,apple,0,0,0,Bulgaria
2013H2,apple,0.2,5,1,Czech Republic
2013H2,apple,0.57,7,3,Denmark
2013H2,apple,0.5,2,1,Finland
2013H2,apple,0.29,119,34,France
2013H2,apple,0.46,147,67,Germany
2013H2,apple,0,0,0,India
2013H2,apple,0.25,8,2,Ireland
2013H2,apple,0.28,40,11,Italy
2013H2,apple,0.89,9,8,Luxembourg
2013H2,apple,0,6,0,Netherlands
2013H2,apple,0.25,8,2,Norway
2013H2,apple,0,1,0,Poland
2013H2,apple,1,1,1,Portugal
2013H2,apple,0.33,3,0,Russia
2013H2,apple,0,0,0,San Marino
2013H2,apple,0.35,37,12,Spain
2013H2,apple,0.23,13,2,Sweden
2013H2,apple,0.15,13,1,Switzerland
2013H2,apple,1,2,2,Turkey
2013H2,apple,0.38,151,57,United Kingdom
2014H1,apple,0,0,0,Argentina
2014H1,apple,0,0,0,Bahamas
2014H1,apple,0,2,0,Brazil
2014H1,apple,0,1,0,Mexico
2014H1,apple,0.14,93,13,Australia
2014H1,apple,0.14,7,0,China
2014H1,apple,0.21,14,2,Hong Kong
2014H1,apple,0,1,0,Indonesia
2014H1,apple,0.11,64,7,Japan
2014H1,apple,0.5,2,1,Malaysia
2014H1,apple,0.25,4,1,New Zealand
2014H1,apple,0.21,24,5,Singapore
2014H1,apple,0.3,10,3,South Korea
2014H1,apple,0.14,7,0,Taiwan
2014H1,apple,0.77,789,607,United States
2014H1,apple,0.64,14,8,Canada
2014H1,apple,0.83,6,4,Austria
2014H1,apple,0,0,0,Belarus
